cpu_inicio,cpu_final,memoria_inicio,memoria_final,tempo_chegada_server,tempo_saida_server,tempo_inicio_request,tempo_fim_request,tipo_request,id,tempo_bd,tempo_rede
1.226678949,1.226678949,4261314560,4261314560,1471542305277,1471542305279,1471542180767,1471542180852,cadastro,cadastro 108,2,83
1.226688065,1.226687918,4261314560,4261314560,1471542305329,1471542305331,1471542180817,1471542180904,cadastro,cadastro 109,2,85
1.22669119,1.226691116,4261314560,4261314560,1471542305377,1471542305379,1471542180868,1471542180952,cadastro,cadastro 110,2,82
1.226694388,1.226694388,4261314560,4261314560,1471542305425,1471542305427,1471542180916,1471542181000,cadastro,cadastro 111,2,82
1.226691816,1.226691669,4261314560,4261314560,1471542305477,1471542305479,1471542180967,1471542181052,cadastro,cadastro 112,2,83
1.22669472,1.226700491,4261314560,4261314560,1471542305529,1471542305531,1471542181017,1471542181104,cadastro,cadastro 113,2,85
1.226698066,1.226697919,4261314560,4262076416,1471542305577,1471542305581,1471542181068,1471542181152,cadastro,cadastro 114,4,80
1.2266952,1.226695053,4262076416,4262076416,1471542305629,1471542305631,1471542181117,1471542181204,cadastro,cadastro 115,2,85
1.226698398,1.226698104,4262076416,4262076416,1471542305677,1471542305679,1471542181166,1471542181256,cadastro,cadastro 116,2,88
1.226701596,1.226701302,4262076416,4262076416,1471542305729,1471542305731,1471542181217,1471542181304,cadastro,cadastro 117,2,85
1.226698804,1.226715527,4262076416,4268462080,1471542305777,1471542305797,1471542181267,1471542181368,cadastro,cadastro 118,20,81
1.226719093,1.226724863,4268462080,4268462080,1471542305841,1471542305843,1471542181317,1471542181421,cadastro,cadastro 119,2,102
1.226722658,1.226728576,4268462080,4268462080,1471542305881,1471542305883,1471542181369,1471542181460,cadastro,cadastro 120,2,89
1.226727988,1.226727988,4268462080,4268462080,1471542305893,1471542305895,1471542181418,1471542181467,cadastro,cadastro 121,2,47
1.226734972,1.226734972,4268306432,4268306432,1471542305981,1471542305983,1471542181468,1471542181518,cadastro,cadastro 122,2,48
1.22673817,1.226738097,4268306432,4268306432,1471542306029,1471542306031,1471542181516,1471542181566,cadastro,cadastro 123,2,48
1.226735524,1.226735451,4268306432,4268306432,1471542306077,1471542306079,1471542181567,1471542181614,cadastro,cadastro 124,2,45
1.226744493,1.226744346,4268306432,4268306432,1471542306129,1471542306131,1471542181617,1471542181665,cadastro,cadastro 125,2,46
1.226747618,1.226747544,4268359680,4268359680,1471542306177,1471542306179,1471542181667,1471542181713,cadastro,cadastro 126,2,44
1.226744898,1.226744898,4268359680,4268359680,1471542306229,1471542306231,1471542181717,1471542181765,cadastro,cadastro 127,2,46
1.226754087,1.226753867,4268359680,4268359680,1471542306277,1471542306279,1471542181767,1471542181813,cadastro,cadastro 128,2,44
1.226757212,1.226757065,4268359680,4268359680,1471542306325,1471542306327,1471542181817,1471542181861,cadastro,cadastro 129,2,42
