cpu_inicio,cpu_final,memoria_inicio,memoria_final,tempo_chegada_server,tempo_saida_server,tempo_inicio_request,tempo_fim_request,tipo_request,id
1.2266601994399764,1.2266600524583424,4261314560,4261314560,1471542304977,1471542304979,1471542180468,1471542180552,CADASTRO,Cadastro 102
1.226668948083514,1.226668948083514,4261314560,4261314560,1471542305029,1471542305031,1471542180517,1471542180604,CADASTRO,Cadastro 103
1.2266664493893131,1.2266723670015551,4261314560,4261314560,1471542305077,1471542305079,1471542180567,1471542180652,CADASTRO,Cadastro 104
1.2266697213238444,1.2266815565209868,4261314560,4261314560,1471542305125,1471542305127,1471542180616,1471542180700,CADASTRO,Cadastro 105
1.2266786168644614,1.2266785433732252,4261314560,4261314560,1471542305177,1471542305179,1471542180667,1471542180752,CADASTRO,Cadastro 106
1.2266817417740015,1.226681668282751,4261314560,4261314560,1471542305229,1471542305231,1471542180716,1471542180804,CADASTRO,Cadastro 107
1.2266789491127668,1.2266789491127668,4261314560,4261314560,1471542305277,1471542305279,1471542180767,1471542180852,CADASTRO,Cadastro 108
1.2266880650405767,1.2266879180580048,4261314560,4261314560,1471542305329,1471542305331,1471542180817,1471542180904,CADASTRO,Cadastro 109
1.226691189906333,1.2266911164150258,4261314560,4261314560,1471542305377,1471542305379,1471542180868,1471542180952,CADASTRO,Cadastro 110
1.2266943882488164,1.2266943882488164,4261314560,4261314560,1471542305425,1471542305427,1471542180916,1471542181000,CADASTRO,Cadastro 111
1.2266918160575813,1.2266916690755494,4261314560,4261314560,1471542305477,1471542305479,1471542180967,1471542181052,CADASTRO,Cadastro 112
1.2266947204205252,1.2267004909246282,4261314560,4261314560,1471542305529,1471542305531,1471542181017,1471542181104,CADASTRO,Cadastro 113
1.2266980657150128,1.226697918732924,4261314560,4262076416,1471542305577,1471542305581,1471542181068,1471542181152,CADASTRO,Cadastro 114
1.226695199570571,1.2266950525891644,4262076416,4262076416,1471542305629,1471542305631,1471542181117,1471542181204,CADASTRO,Cadastro 115
1.2266983978675086,1.2266981039046385,4262076416,4262076416,1471542305677,1471542305679,1471542181166,1471542181256,CADASTRO,Cadastro 116
1.2267015961498942,1.2267013021869246,4262076416,4262076416,1471542305729,1471542305731,1471542181217,1471542181304,CADASTRO,Cadastro 117
1.226698803507361,1.2267155268841492,4262076416,4268462080,1471542305777,1471542305797,1471542181267,1471542181368,CADASTRO,Cadastro 118
1.2267190925667109,1.2267248629838292,4268462080,4268462080,1471542305841,1471542305843,1471542181317,1471542181421,CADASTRO,Cadastro 119
1.2267226582351753,1.2267285756238948,4268462080,4268462080,1471542305881,1471542305883,1471542181369,1471542181460,CADASTRO,Cadastro 120
1.2267279876894719,1.2267279876894719,4268462080,4268462080,1471542305893,1471542305895,1471542181418,1471542181467,CADASTRO,Cadastro 121
1.2267349719753895,1.2267349719753895,4268306432,4268306432,1471542305981,1471542305983,1471542181468,1471542181518,CADASTRO,Cadastro 122
1.2267381701292948,1.2267380966373906,4268306432,4268306432,1471542306029,1471542306031,1471542181516,1471542181566,CADASTRO,Cadastro 123
1.2267355244261609,1.2267354509345694,4268306432,4268306432,1471542306077,1471542306079,1471542181567,1471542181614,CADASTRO,Cadastro 124
1.2267444929014601,1.2267443459175666,4268306432,4268306432,1471542306129,1471542306131,1471542181617,1471542181665,CADASTRO,Cadastro 125
1.2267476175196776,1.2267475440277167,4268359680,4268359680,1471542306177,1471542306179,1471542181667,1471542181713,CADASTRO,Cadastro 126
1.226744898322906,1.226744898322906,4268359680,4268359680,1471542306229,1471542306231,1471542181717,1471542181765,CADASTRO,Cadastro 127
1.226754087188354,1.226753866712329,4268359680,4268359680,1471542306277,1471542306279,1471542181767,1471542181813,CADASTRO,Cadastro 128
1.2267572117628305,1.2267570647787664,4268359680,4268359680,1471542306325,1471542306327,1471542181817,1471542181861,CADASTRO,Cadastro 129
1.2267662535730324,1.2267661065882294,4268359680,4268359680,1471542306377,1471542306379,1471542181867,1471542181913,CADASTRO,Cadastro 130
1.2267693781042794,1.2267752218471344,4268359680,4268359680,1471542306425,1471542306427,1471542181916,1471542181961,CADASTRO,Cadastro 131
1.2267844105565757,1.2267843370634353,4268359680,4268359680,1471542306477,1471542306479,1471542181967,1471542182013,CADASTRO,Cadastro 132
1.226787535030624,1.2267873880443148,4268359680,4268359680,1471542306525,1471542306527,1471542182016,1471542182061,CADASTRO,Cadastro 133
1.2267906594900637,1.226790512503726,4268359680,4268359680,1471542306577,1471542306579,1471542182067,1471542182113,CADASTRO,Cadastro 134
1.2267876462772165,1.2267876462772165,4268359680,4268359680,1471542306629,1471542306631,1471542182117,1471542182165,CADASTRO,Cadastro 135
1.2268027520360931,1.2268026785425405,4268359680,4268359680,1471542306677,1471542306679,1471542182167,1471542182213,CADASTRO,Cadastro 136
1.2268002532605067,1.226800032780801,4268359680,4268359680,1471542306725,1471542306727,1471542182216,1471542182261,CADASTRO,Cadastro 137
1.2268032306750882,1.2268030101953968,4268359680,4268359680,1471542306777,1471542306779,1471542182268,1471542182313,CADASTRO,Cadastro 138
1.2268064285548235,1.226812272184361,4268359680,4268359680,1471542306825,1471542306827,1471542182316,1471542182361,CADASTRO,Cadastro 139
1.2268153965422073,1.2268153230485837,4268359680,4268359680,1471542306877,1471542306879,1471542182366,1471542182413,CADASTRO,Cadastro 140
1.2268183738981975,1.2268183738981975,4268359680,4268359680,1471542306929,1471542306931,1471542182417,1471542182465,CADASTRO,Cadastro 141
1.2268336263622643,1.226833479373525,4268306432,4268306432,1471542306977,1471542306979,1471542182467,1471542182513,CADASTRO,Cadastro 142
1.2268364566708243,1.2268364566708243,4268306432,4268306432,1471542307029,1471542307031,1471542182517,1471542182565,CADASTRO,Cadastro 143
